student_id,course,student_cohort,academic_status,failed_subjects,study_skills(attended),referral,pp_meeting,self_assessment,readiness_assessment_results,follow_up,follow_up_type,subject_1,subject_1_assess_1,subject_1_assess_2,subject_1_assess_3,subject_1_assess_4,attendance_1,learn_jcu_issues_1,lecturer_referral_1,subject_2,subject_2_assess_1,subject_2_assess_2,subject_2_assess_3,subject_2_assess_4,attendance_2,learn_jcu_issues_2,lecturer_referral_2,subject_3,subject_3_assess_1,subject_3_assess_2,subject_3_assess_3,subject_4_assess_4,attendance_3,learn_jcu_issues_3,lecturer_referral_3,comments,identified_issues
61177,Master of Data Science (Professional),Continuing,Conditional,,,Lecturer,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,No,No Reply,,69.64,72.29,70.06,65.42,86,No Access,Attendance,,75.44,59.74,59.96,56.42,82,Access,Concern for Welfare,,93.82,96.6,86.61,65.7,82,Access,Concern for Welfare,Week 7. Student maintaining good academic standards.,Study skills
71621,Master of Professional Accounting,First year,Satisfactory,,,Lecturer,Not relevant,No,L/G:9/10 N:5/10 R:8/10,Yes,Phone,,79.41,74.88,85.85,93.74,95,Access,Non Submission,,80.74,81.01,84.58,85.06,87,Access,Attendance,,67.38,59.67,43.53,29.43,81,Access,Attendance,Week 8. Strong performance across all subjects. No intervention needed.,Study skills
15706,Master of Information Technology - Master of Business Administration,New,Satisfactory,,,,Not relevant,No,L/G:9/10 N:5/10 R:8/10,No,No Reply,,88.23,94.07,90.51,82.84,94,No Access,Non Submission,,86.97,86.01,100.0,94.74,88,No Access,Non Submission,,66.0,59.22,51.18,32.52,84,Access,Concern for Welfare,Week 3. Student performing well. Consistent attendance and engagement.,Study skills
93318,Master of Business Administration,SRI to JCUB,Academic Caution,,,Lecturer,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,No,No Reply,,56.55,50.85,17.98,11.59,79,Access,Non Submission,,34.74,39.45,35.05,60.62,70,Access,Concern for Welfare,,74.95,70.92,67.93,82.46,68,No Access,Attendance,Week 4. Student submitted first assessment late. Offered academic skills support and advised on extension procedures.,Poor time management
60709,Master of Education - Master of Business Administration,LOA,At Risk,,Referencing,Other,Rescheduled,Yes,L/G:9/10 N:5/10 R:8/10,Yes,F2F,,13.43,22.04,39.53,41.69,67,Access,Non Submission,,48.79,61.25,67.49,77.96,61,Access,Concern for Welfare,,33.13,36.77,32.74,18.17,63,Access,Concern for Welfare,Week 7. Student disclosed high stress levels and lack of sleep. Referred to Wellbeing team and reminded of available mental health support.,Mental health
58929,Master of Information Technology - Master of Business Administration,SRI to JCUB,Conditional,,,Enrollment,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,No,No Reply,,94.71,96.21,100.0,100.0,96,Access,Non Submission,,87.6,88.24,93.47,83.1,94,Access,Concern for Welfare,,53.82,50.01,39.56,7.03,90,Access,Non Submission,Week 5. Good progress on assessments. No concerns identified.,Time management
43246,Bachelor of Information Technology,First year,Satisfactory,,,,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,No,No Reply,,73.62,59.47,83.12,100.0,100,Access,Concern for Welfare,,57.68,59.99,76.26,79.89,95,Access,Concern for Welfare,,82.33,100.0,65.56,44.94,91,Access,Non Submission,Week 8. Strong performance across all subjects. No intervention needed.,Study skills
12128,Master of Professional Account and Master of Business Administration,SRI to JCUB,Conditional,,,Student Counsellor,Not relevant,No,L/G:9/10 N:5/10 R:8/10,Yes,Email,,63.46,80.84,56.35,82.02,73,No Access,Concern for Welfare,,61.98,46.24,77.88,80.27,71,Access,Concern for Welfare,,66.73,53.45,59.2,37.47,81,Access,Concern for Welfare,Week 6. Student submitted assessment late. Extension not requested in advance. Advised to submit future requests on time and referred to Academic Skills team.,Study skills
56805,Master of Engineering Management,Continuing,Conditional,CP5047,,,Not relevant,No,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,,30.96,31.74,36.62,32.9,79,No Access,Concern for Welfare,,38.44,28.23,42.16,45.35,74,Access,Non Submission,,65.82,78.29,71.57,79.36,71,Access,Concern for Welfare,Week 5. Low engagement in tutorials. Follow-up email sent with participation expectations and links to recorded sessions.,Poor time management
18855,Master of Data Science (Professional),Excluded,Conditional,,Essential Skills and Reading,,Not relevant,No,L/G:9/10 N:5/10 R:8/10,No,No Reply,,90.53,88.33,100.0,100.0,64,No Access,Non Submission,,55.53,61.97,53.38,35.07,60,Access,Attendance,,59.88,48.14,62.21,72.98,67,No Access,Attendance,Week 4. Student submitted first assessment late. Offered academic skills support and advised on extension procedures.,Late enrollment
55193,Master of Professional Account and Master of Business Administration,New,At Risk,CP5639,,Student Advocate,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,Yes,F2F,,36.1,37.94,38.24,49.44,68,No Access,Concern for Welfare,,46.61,44.09,54.6,60.5,67,Access,Concern for Welfare,,6.56,3.76,1.39,0.57,67,Access,Non Submission,Week 6. Student reported working long hours. Referred to careers support for managing work–study balance.,Poor time management
41604,Postgraduate Qualifying Program - Business,First year,Academic Caution,,Writing,,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,Yes,F2F,,55.6,40.0,40.68,21.79,70,No Access,Attendance,,60.97,69.56,44.93,28.85,76,No Access,Attendance,,59.27,51.82,60.15,68.27,62,No Access,Attendance,Week 4. Student submitted first assessment late. Offered academic skills support and advised on extension procedures.,Study skills
96127,Master of Professional Accounting,Transferred,Academic Caution,CP1406,,,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,Yes,F2F,,26.38,29.0,25.23,10.87,64,No Access,Non Submission,,42.46,46.12,56.6,83.4,47,Access,Attendance,,34.78,29.76,35.19,28.88,32,No Access,Attendance,Week 3. Student enrolled late. Missing foundational content from Weeks 1–2. Provided links to recorded lectures and encouraged to attend tutorials for extra support.,Financial stress
92346,"Bachelor of Tourism, Hospitality and Events",First year,Satisfactory,,,,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,No,No Reply,,84.56,85.36,85.11,93.1,97,Access,Attendance,,76.92,79.36,79.55,79.13,92,Access,Non Submission,,64.17,78.24,55.11,70.44,98,Access,Attendance,Week 3. Student performing well. Consistent attendance and engagement.,Time management
23587,Master of Professional Account and Master of Business Administration,SRI to JCUB,Conditional,CP1406,,,Not relevant,No,L/G:9/10 N:5/10 R:8/10,No,No Reply,,74.1,69.28,79.65,91.85,73,No Access,Non Submission,,95.62,85.09,94.22,100.0,71,No Access,Concern for Welfare,,83.96,87.85,98.74,100.0,62,Access,Concern for Welfare,Week 8. Strong performance across all subjects. No intervention needed.,Academic progression
86271,Master of Engineering Management,LOA,Satisfactory,,,,Not relevant,No,L/G:9/10 N:5/10 R:8/10,No,No Reply,,41.22,38.29,61.34,74.98,87,Access,Concern for Welfare,,64.89,75.56,73.34,79.33,93,Access,Concern for Welfare,,82.02,73.88,78.4,75.81,100,Access,Concern for Welfare,Week 3. Student performing well. Consistent attendance and engagement.,Academic progression
53583,Master of Data Science (Professional),New,Satisfactory,,,,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,No,No Reply,,83.19,78.8,82.93,100.0,94,No Access,Non Submission,,100.0,93.03,100.0,81.9,84,Access,Non Submission,,74.83,72.51,87.34,79.52,75,Access,Non Submission,Week 5. Good progress on assessments. No concerns identified.,Time management
27486,Master of International Tourism and Hospitality Management,Transferred,Satisfactory,,,,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,No,No Reply,,54.28,66.45,47.95,47.15,91,Access,Concern for Welfare,,78.54,72.24,70.68,80.27,85,Access,Non Submission,,83.12,83.0,81.76,84.87,88,No Access,Non Submission,Week 8. Strong performance across all subjects. No intervention needed.,Study skills
15811,Master of Business Administration,Excluded,Conditional,CP1401,,,Not relevant,No,L/G:9/10 N:5/10 R:8/10,Yes,Email,,60.73,70.82,60.52,65.74,94,No Access,Non Submission,,70.77,76.66,85.27,92.37,84,Access,Attendance,,51.51,48.65,57.92,59.83,75,Access,Concern for Welfare,Week 4. Student submitted first assessment late. Offered academic skills support and advised on extension procedures.,Poor time management
56176,Master of Education - Master of Business Administration,Transferred,At Risk,,Writing,Student Advocate,Booked,No,L/G:9/10 N:5/10 R:8/10,Yes,Email,,81.16,86.88,89.46,81.76,46,No Access,Attendance,,39.26,32.79,38.75,22.3,40,No Access,Attendance,,17.27,22.76,36.41,32.62,36,Access,Attendance,Week 3. Student enrolled late. Missing foundational content from Weeks 1–2. Provided links to recorded lectures and encouraged to attend tutorials for extra support.,Poor time management
81567,Master of Business Administration,New,Excluded,,Essential Skills,Lecturer,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,Yes,F2F,,29.53,28.51,39.96,52.33,35,No Access,Attendance,,32.42,27.99,13.9,7.6,35,No Access,Attendance,,40.61,28.01,28.27,25.13,32,No Access,Attendance,Week 2. Student did not attend orientation. Contacted via email with essential course info and Moodle access guide. No response yet.,Late enrollment
54374,"Bachelor of Tourism, Hospitality and Events",Return to Study,Conditional,CP5639,,,Not relevant,No,L/G:9/10 N:5/10 R:8/10,Yes,F2F,,60.09,52.16,54.35,29.44,76,Access,Concern for Welfare,,80.66,70.26,86.08,88.37,73,Access,Attendance,,79.34,73.01,79.96,59.88,70,No Access,Attendance,Week 6. Student submitted assessment late. Extension not requested in advance. Advised to submit future requests on time and referred to Academic Skills team.,Study skills
94252,Master of Professional Accounting,Return to Study,Conditional,,,,Not relevant,No,L/G:9/10 N:5/10 R:8/10,No,No Reply,,46.74,51.51,28.89,17.22,90,Access,Non Submission,,87.14,93.11,80.49,58.1,84,No Access,Attendance,,81.11,91.85,74.49,61.54,75,Access,Non Submission,Week 5. Good progress on assessments. No concerns identified.,Time management
32949,Master of Information Technology,New,Conditional,,,,Not relevant,No,L/G:9/10 N:5/10 R:8/10,No,No Reply,,63.7,68.27,75.99,67.25,91,Access,Non Submission,,57.02,75.74,55.25,57.4,87,Access,Attendance,,66.7,70.62,76.3,84.7,88,Access,Attendance,Week 7. Student maintaining good academic standards.,Time management
99742,Master of Business Administration,New,Conditional,,,Lecturer,Not relevant,No,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,,90.89,88.28,88.26,89.72,91,Access,Attendance,,80.58,82.4,67.74,65.06,89,Access,Non Submission,,70.51,65.86,70.83,59.46,93,Access,Concern for Welfare,Week 7. Student maintaining good academic standards.,Time management
70899,Bachelor of Business,Return to Study,Satisfactory,,,,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,Yes,F2F,,56.38,35.45,73.85,89.25,79,Access,Concern for Welfare,,73.6,68.26,44.84,21.72,86,Access,Concern for Welfare,,83.59,91.13,90.01,95.13,71,Access,Attendance,Week 5. Good progress on assessments. No concerns identified.,Academic progression
72722,Bachelor of Business,Excluded,Conditional,,,,Not relevant,No,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,,85.65,83.02,96.5,97.31,100,Access,Attendance,,64.43,56.38,53.78,56.37,99,No Access,Attendance,,66.09,57.82,73.22,80.73,94,No Access,Concern for Welfare,Week 5. Good progress on assessments. No concerns identified.,Academic progression
92802,Master of Professional Account and Master of Business Administration,Continuing,Conditional,,,,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,No,No Reply,,81.55,85.65,74.02,71.17,78,Access,Concern for Welfare,,76.5,69.15,65.46,51.76,74,No Access,Concern for Welfare,,99.44,96.14,100.0,94.66,71,No Access,Concern for Welfare,Week 5. Good progress on assessments. No concerns identified.,Study skills
33891,Master of International Tourism and Hospitality Management - Master of Business Administration,LOA,Conditional,,,,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,No,No Reply,,80.67,87.89,90.19,99.61,92,Access,Non Submission,,91.53,94.56,100.0,84.8,97,Access,Non Submission,,79.18,81.45,69.81,72.09,95,No Access,Concern for Welfare,Week 7. Student maintaining good academic standards.,Study skills
27675,Master of Education - Master of Business Administration,New,Satisfactory,,,,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,,52.12,46.89,32.13,40.84,93,Access,Concern for Welfare,,72.22,89.56,80.25,89.64,92,Access,Attendance,,67.97,59.59,73.19,74.95,89,Access,Non Submission,Week 8. Strong performance across all subjects. No intervention needed.,Time management
18270,Postgraduate Qualifying Program - Business,LOA,At Risk,CP5046,Referencing,,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,Yes,Phone,,15.89,3.76,6.31,23.36,58,No Access,Non Submission,,84.84,86.48,86.33,83.04,51,Access,Concern for Welfare,,28.18,39.18,46.92,45.56,50,No Access,Non Submission,Week 7. Student disclosed high stress levels and lack of sleep. Referred to Wellbeing team and reminded of available mental health support.,Financial stress
