student_id,course,student_cohort,academic_status,failed_subjects,study_skills(attended),referral,pp_meeting,self_assessment,readiness_assessment_results,follow_up,follow_up_type,subject_1,subject_1_assess_1,subject_1_assess_2,subject_1_assess_3,subject_1_assess_4,attendance_1,learn_jcu_issues_1,lecturer_referral_1,subject_2,subject_2_assess_1,subject_2_assess_2,subject_2_assess_3,subject_2_assess_4,attendance_2,learn_jcu_issues_2,lecturer_referral_2,subject_3,subject_3_assess_1,subject_3_assess_2,subject_3_assess_3,subject_3_assess_4,attendance_3,learn_jcu_issues_3,lecturer_referral_3,comments,identified_issues,course_group
12,master of business administration,Excluded,At Risk,0,Writing,Other,Not relevant,No,L/G:9/10 N:5/10 R:8/10,No,No Reply,LB5113,23.33,99.33,48.58,43.4,98,No Access,Non Submission,LB5202,2.18,10.71,87.8,98.26,26,Access,Concern for Welfare,LB5205,98.14,74.56,79.22,66.83,57,Access,Non Submission,Week 3. Student enrolled late. Missing foundational content from Weeks 1–2. Provided links to recorded lectures and encouraged to attend tutorials for extra support.,Mental health,Non-IT
13,master of business administration,Excluded,Academic Caution,0,4R Essential Skills,Enrollment,Attended,No,L/G:9/10 N:5/10 R:8/10,Yes,Phone,LB5113,62.65,2.8,21.66,76.31,76,Access,Concern for Welfare,LB5202,35.24,18.69,30.59,27.53,96,Access,Concern for Welfare,LB5205,4.88,28.59,57.05,66.24,49,No Access,Attendance,Week 3. First contact made. Student reported internet access issues at home. IT support referral provided.,Sickness,Non-IT
14,master of business administration,Continuing,Excluded,0,Referencing,Student Advocate,Not relevant,No,L/G:9/10 N:5/10 R:8/10,No,Phone,LB5113,86.44,72.51,41.21,13.6,90,Access,Attendance,LB5202,7.96,36.61,10.16,18.99,57,Access,Concern for Welfare,LB5205,22.1,63.23,28.87,14.86,48,Access,Concern for Welfare,Week 5. Low engagement in tutorials. Follow-up email sent with participation expectations and links to recorded sessions.,Late Enrollment,Non-IT
15,master of business administration,New,Satisfactory,0,Writing,Lecturer,Rescheduled,No,L/G:9/10 N:5/10 R:8/10,No,Email,LB5113,52.84,73.17,93.95,81.7,0,Access,Non Submission,LB5202,80.35,18.71,82.22,71.63,5,Access,Concern for Welfare,LB5205,54.69,90.41,98.25,78.5,46,Access,Concern for Welfare,Week 6. Student submitted assessment late. Extension not requested in advance. Advised to submit future requests on time and referred to Academic Skills team.,Mental health,Non-IT
16,master of business administration,Return to Study,Excluded,0,Essential Skills,Enrollment,Booked,Yes,L/G:9/10 N:5/10 R:8/10,Yes,F2F,LB5113,95.27,10.85,78.17,31.87,63,No Access,Non Submission,LB5202,56.83,31.58,9.4,82.3,6,Access,Attendance,LB5205,39.8,87.03,82.92,47.12,85,Access,Non Submission,Week 7. Student disclosed high stress levels and lack of sleep. Referred to Wellbeing team and reminded of available mental health support.,Mental health,Non-IT
17,master of business administration,Excluded,Excluded,0,Studiocity,Enrollment,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,LB5113,55.64,79.37,22.81,43.05,11,No Access,Concern for Welfare,LB5202,32.22,44.97,95.1,87.34,64,Access,Attendance,LB5205,2.13,38.37,60.66,1.5,44,Access,Attendance,Week 8. Student re-engaged with tutorials. Submitted outstanding work with approved extension.,Sickness,Non-IT
18,master of business administration,Continuing,Academic Caution,0,Writing,Student Counsellor,Booked,Yes,L/G:9/10 N:5/10 R:8/10,Yes,Email,LB5113,69.8,89.62,38.83,31.88,59,Access,Concern for Welfare,LB5202,72.11,97.69,14.47,12.74,100,Access,Concern for Welfare,LB5205,17.47,45.6,40.46,5.18,3,No Access,Non Submission,Week 7. Missed second assessment. Student contacted and reported feeling overwhelmed. Referred to Academic Support and encouraged to speak with Counsellor.,Poor time management,Non-IT
19,master of business administration,LOA,Excluded,0,Referencing,Other,Attended,Yes,L/G:9/10 N:5/10 R:8/10,No,Phone,LB5113,97.66,39.96,23.96,16.36,9,Access,Attendance,LB5202,47.19,68.37,51.89,18.07,7,Access,Non Submission,LB5205,81.88,73.34,93.11,77.26,100,Access,Attendance,Week 6. Student submitted assessment late. Extension not requested in advance. Advised to submit future requests on time and referred to Academic Skills team.,Death in family,Non-IT
20,master of business administration,New,At Risk,0,Referencing,Other,Booked,Yes,L/G:9/10 N:5/10 R:8/10,Yes,Phone,LB5113,86.02,54.5,43.26,35.69,26,Access,Concern for Welfare,LB5202,19.36,66.26,6.38,18.71,23,Access,Attendance,LB5205,20.19,99.24,30.01,98.13,94,Access,Concern for Welfare,booked to see a doctor. Week 5. Student contacted for low attendance. Reminded of the importance of attending classes. Week 7. Student contacted for missing submission due date. Referred to Counsellor for check in for wellbeing as the student advised mental health challenges.,Mental health,Non-IT
21,master of business administration,New,Satisfactory,0,Essential Skills,Student Counsellor,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,No,F2F,LB5113,78.05,52.66,80.55,62.27,64,Access,Attendance,LB5202,52.72,30.33,23.05,19.98,44,Access,Attendance,LB5205,69.04,98.82,14.88,85.44,45,Access,Attendance,Week 3. Student enrolled late. Missing foundational content from Weeks 1–2. Provided links to recorded lectures and encouraged to attend tutorials for extra support.,Death in family,Non-IT
22,master of business administration,Return to Study,Conditional,0,Studiocity,Other,Attended,No,L/G:9/10 N:5/10 R:8/10,Yes,F2F,LB5113,76.78,62.87,18.94,86.33,75,Access,Attendance,LB5202,98.86,9.35,40.5,48.8,82,Access,Concern for Welfare,LB5205,0.14,69.1,1.05,58.84,19,Access,Attendance,Week 5. Low engagement in tutorials. Follow-up email sent with participation expectations and links to recorded sessions.,Late Enrollment,Non-IT
23,master of business administration,Return to Study,Conditional,0,Studiocity,Other,Booked,Yes,L/G:9/10 N:5/10 R:8/10,Yes,Email,LB5113,59.33,93.27,88.04,4.88,58,No Access,Concern for Welfare,LB5202,89.03,30.71,2.31,50.42,70,Access,Non Submission,LB5205,95.35,59.95,5.04,13.72,54,No Access,Non Submission,Week 3. First contact made. Student reported internet access issues at home. IT support referral provided.,Death in family,Non-IT
24,master of business administration,SRI to JCUB,At Risk,2,Writing,Student Advocate,Rescheduled,Yes,L/G:9/10 N:5/10 R:8/10,Yes,F2F,LB5113,73.02,79.12,39.32,29.24,14,No Access,Concern for Welfare,LB5202,27.61,38.82,64.49,38.16,68,No Access,Non Submission,LB5205,69.63,88.2,71.53,83.42,9,Access,Attendance,Week 7. Missed second assessment. Student contacted and reported feeling overwhelmed. Referred to Academic Support and encouraged to speak with Counsellor.,Mental health,Non-IT
25,master of business administration,Return to Study,Conditional,0,Writing,Other,Rescheduled,No,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,LB5113,65.98,22.03,82.95,18.8,42,Access,Non Submission,LB5202,41.29,11.97,84.16,10.74,91,Access,Attendance,LB5205,39.93,6.8,76.46,14.82,84,Access,Concern for Welfare,booked to see a doctor. Week 5. Student contacted for low attendance. Reminded of the importance of attending classes. Week 7. Student contacted for missing submission due date. Referred to Counsellor for check in for wellbeing as the student advised mental health challenges.,Late Enrollment,Non-IT
26,master of business administration,LOA,Satisfactory,0,Referencing,Lecturer,Not relevant,No,L/G:9/10 N:5/10 R:8/10,No,No Reply,LB5113,63.79,53.73,92.34,92.22,94,Access,Concern for Welfare,LB5202,69.94,90.95,93.84,7.31,33,Access,Concern for Welfare,LB5205,7.18,82.85,36.18,72.19,45,Access,Attendance,Week 3 late enrolment. Student finding it difficult to catch up on Weeks 1 and 2. Week 4. Student contacted on lecturer referral. Student has been sick on arrival,Poor time management,Non-IT
27,master of business administration,Transferred,Conditional,0,Essential Skills and Reading,Student Advocate,Attended,No,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,LB5113,17.74,42.39,6.68,22.16,55,No Access,Non Submission,LB5202,92.51,15.16,82.98,97.32,75,Access,Non Submission,LB5205,22.12,84.68,88.66,46.38,68,No Access,Attendance,Week 7. Missed second assessment. Student contacted and reported feeling overwhelmed. Referred to Academic Support and encouraged to speak with Counsellor.,Sickness,Non-IT
28,master of business administration,Continuing,Academic Caution,0,Writing,Other,Attended,Yes,L/G:9/10 N:5/10 R:8/10,No,F2F,LB5113,83.39,75.58,22.02,31.27,20,No Access,Attendance,LB5202,35.31,6.51,22.17,90.36,13,No Access,Concern for Welfare,LB5205,14.47,61.59,67.93,26.23,70,Access,Concern for Welfare,Week 6. Student submitted assessment late. Extension not requested in advance. Advised to submit future requests on time and referred to Academic Skills team.,Sickness,Non-IT
29,master of business administration,Transferred,At Risk,0,Essential Skills,Enrollment,Booked,No,L/G:9/10 N:5/10 R:8/10,No,F2F,LB5113,23.51,30.62,71.63,14.91,100,Access,Concern for Welfare,LB5202,6.92,93.31,32.8,3.23,27,Access,Attendance,LB5205,2.45,83.82,68.19,22.82,97,No Access,Attendance,Week 3. Student enrolled late. Missing foundational content from Weeks 1–2. Provided links to recorded lectures and encouraged to attend tutorials for extra support.,Death in family,Non-IT
30,master of business administration,LOA,Academic Caution,0,Writing,Enrollment,Rescheduled,Yes,L/G:9/10 N:5/10 R:8/10,No,No Reply,LB5113,18.63,18.0,85.16,12.25,74,No Access,Concern for Welfare,LB5202,47.77,5.41,80.87,84.52,34,No Access,Concern for Welfare,LB5205,86.71,4.39,80.09,80.89,55,Access,Non Submission,Week 3. Student enrolled late. Missing foundational content from Weeks 1–2. Provided links to recorded lectures and encouraged to attend tutorials for extra support.,Late Enrollment,Non-IT
31,master of business administration,First year,Conditional,0,4R Essential Skills,Lecturer,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,No,Phone,LB5113,88.77,51.62,64.43,75.28,26,Access,Non Submission,LB5202,37.38,96.11,83.53,28.88,83,Access,Concern for Welfare,LB5205,61.77,92.76,49.08,83.74,71,No Access,Attendance,Week 4. Student submitted first assessment late. Offered academic skills support and advised on extension procedures.,Late Enrollment,Non-IT
32,master of business administration,Transferred,Excluded,0,Studiocity,Other,Attended,No,L/G:9/10 N:5/10 R:8/10,No,Phone,LB5113,4.36,70.33,36.29,17.52,63,Access,Attendance,LB5202,8.68,11.58,5.76,59.58,94,Access,Attendance,LB5205,63.55,20.04,15.78,72.39,16,No Access,Non Submission,Week 6. Student reported working long hours. Referred to careers support for managing work–study balance.,Late Enrollment,Non-IT
33,master of business administration,Return to Study,Conditional,0,4R Essential Skills,Other,Not relevant,No,L/G:9/10 N:5/10 R:8/10,No,No Reply,LB5113,85.91,88.71,76.02,67.24,99,Access,Attendance,LB5202,7.61,17.92,49.16,23.55,32,Access,Attendance,LB5205,25.24,33.23,50.84,93.98,32,Access,Non Submission,Week 3 late enrolment. Student finding it difficult to catch up on Weeks 1 and 2. Week 4. Student contacted on lecturer referral. Student has been sick on arrival,Poor time management,Non-IT
34,master of business administration,SRI to JCUB,Conditional,0,4R Essential Skills,Enrollment,Rescheduled,No,L/G:9/10 N:5/10 R:8/10,No,No Reply,LB5113,17.76,45.19,58.28,1.6,78,Access,Attendance,LB5202,53.53,0.94,87.27,56.7,32,Access,Non Submission,LB5205,99.18,71.04,8.27,21.42,49,Access,Non Submission,Week 3 late enrolment. Student finding it difficult to catch up on Weeks 1 and 2. Week 4. Student contacted on lecturer referral. Student has been sick on arrival,Death in family,Non-IT
35,master of business administration,Excluded,Academic Caution,0,4R Essential Skills,Student Advocate,Attended,No,L/G:9/10 N:5/10 R:8/10,Yes,Email,LB5113,85.02,22.43,98.48,81.21,37,Access,Attendance,LB5202,34.97,39.21,84.2,99.51,32,Access,Non Submission,LB5205,7.36,39.85,44.82,43.04,94,Access,Attendance,Week 6. Student reported working long hours. Referred to careers support for managing work–study balance.,Mental health,Non-IT
36,master of business administration,Return to Study,Academic Caution,0,Referencing,Enrollment,Booked,No,L/G:9/10 N:5/10 R:8/10,Yes,Email,LB5113,81.03,42.56,28.01,49.73,23,No Access,Non Submission,LB5202,18.57,99.72,52.55,64.5,78,No Access,Concern for Welfare,LB5205,54.64,72.38,58.01,94.02,47,Access,Concern for Welfare,Week 2. Student did not attend orientation. Contacted via email with essential course info and Moodle access guide. No response yet,Poor time management,Non-IT
37,master of business administration,First year,Academic Caution,0,Essential Skills and Reading,Lecturer,Rescheduled,No,L/G:9/10 N:5/10 R:8/10,No,Phone,LB5113,19.11,45.38,63.23,41.37,37,No Access,Concern for Welfare,LB5202,62.86,76.21,4.13,71.49,83,No Access,Attendance,LB5205,93.03,35.09,61.69,96.06,38,Access,Concern for Welfare,Week 8. Student re-engaged with tutorials. Submitted outstanding work with approved extension.,Poor time management,Non-IT
38,master of business administration,New,Satisfactory,0,Essential Skills,Enrollment,Rescheduled,No,L/G:9/10 N:5/10 R:8/10,Yes,Email,LB5113,30.76,15.7,41.05,45.81,46,Access,Attendance,LB5202,28.72,58.9,49.77,0.52,32,Access,Non Submission,LB5205,99.11,63.22,13.56,19.76,94,Access,Attendance,Week 4. Student submitted first assessment late. Offered academic skills support and advised on extension procedures.,Death in family,Non-IT
39,master of business administration,Return to Study,At Risk,3,Writing,Lecturer,Rescheduled,No,L/G:9/10 N:5/10 R:8/10,No,No Reply,LB5113,0.37,54.76,82.74,77.4,70,No Access,Concern for Welfare,LB5202,6.0,11.57,53.75,25.78,97,No Access,Concern for Welfare,LB5205,37.59,4.18,78.98,80.59,4,Access,Concern for Welfare,Week 6. Student reported working long hours. Referred to careers support for managing work–study balance.,Mental health,Non-IT
40,master of business administration,SRI to JCUB,Academic Caution,0,Studiocity,Enrollment,Rescheduled,Yes,L/G:9/10 N:5/10 R:8/10,No,Email,LB5113,46.51,58.5,68.66,8.03,72,No Access,Attendance,LB5202,33.35,32.93,83.13,5.86,76,Access,Non Submission,LB5205,76.89,21.43,72.61,99.05,0,Access,Attendance,Week 2. Student did not attend orientation. Contacted via email with essential course info and Moodle access guide. No response yet,Mental health,Non-IT
41,master of business administration,LOA,Academic Caution,0,4R Essential Skills,Student Counsellor,Attended,Yes,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,LB5113,79.14,49.39,16.48,24.47,74,Access,Concern for Welfare,LB5202,10.48,38.79,64.39,66.51,46,Access,Non Submission,LB5205,0.12,50.57,22.35,25.13,69,Access,Attendance,Week 8. Student re-engaged with tutorials. Submitted outstanding work with approved extension.,Sickness,Non-IT
42,master of business administration,Return to Study,Excluded,0,Writing,Enrollment,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,Yes,Email,LB5113,41.04,89.08,64.9,30.95,51,Access,Attendance,LB5202,83.57,88.32,97.31,79.18,79,Access,Attendance,LB5205,76.46,16.27,26.52,38.82,38,Access,Non Submission,Week 7. Student disclosed high stress levels and lack of sleep. Referred to Wellbeing team and reminded of available mental health support.,Mental health,Non-IT
43,master of business administration,Transferred,Excluded,0,4R Essential Skills,Enrollment,Attended,Yes,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,LB5113,74.48,99.41,93.91,97.6,29,Access,Concern for Welfare,LB5202,33.97,92.26,41.27,16.38,4,Access,Concern for Welfare,LB5205,24.85,81.13,99.84,27.2,38,No Access,Concern for Welfare,Week 5. Student absent from multiple classes. Email sent to check in; student replied citing family issues. Offered flexibility and reminded of support services.,Late Enrollment,Non-IT
44,master of business administration,Excluded,Academic Caution,0,4R Essential Skills,Lecturer,Booked,Yes,L/G:9/10 N:5/10 R:8/10,Yes,Email,LB5113,63.75,25.92,32.29,88.24,7,Access,Non Submission,LB5202,49.64,28.5,40.79,83.47,6,No Access,Concern for Welfare,LB5205,81.98,18.64,69.6,87.3,89,No Access,Concern for Welfare,Week 3. Student enrolled late. Missing foundational content from Weeks 1–2. Provided links to recorded lectures and encouraged to attend tutorials for extra support.,Late Enrollment,Non-IT
45,master of business administration,LOA,Academic Caution,0,Studiocity,Student Counsellor,Rescheduled,Yes,L/G:9/10 N:5/10 R:8/10,Yes,F2F,LB5113,75.71,63.93,49.59,86.61,56,Access,Attendance,LB5202,56.26,7.59,93.99,82.51,71,Access,Non Submission,LB5205,86.48,93.54,10.17,89.16,49,Access,Attendance,Week 3 late enrolment. Student finding it difficult to catch up on Weeks 1 and 2. Week 4. Student contacted on lecturer referral. Student has been sick on arrival,Sickness,Non-IT
46,master of business administration,LOA,Academic Caution,0,Writing,Other,Rescheduled,No,L/G:9/10 N:5/10 R:8/10,Yes,Email,LB5113,38.94,33.2,34.28,15.79,49,Access,Attendance,LB5202,65.35,94.18,92.2,2.08,13,Access,Attendance,LB5205,63.69,95.64,28.85,89.8,76,No Access,Attendance,Week 6. Student reported working long hours. Referred to careers support for managing work–study balance.,Late Enrollment,Non-IT
47,master of business administration,New,Satisfactory,0,Writing,Student Advocate,Attended,No,L/G:9/10 N:5/10 R:8/10,No,F2F,LB5113,61.19,46.16,79.76,64.89,64,No Access,Attendance,LB5202,72.49,84.5,99.7,40.71,57,Access,Non Submission,LB5205,53.15,99.69,2.03,73.37,50,No Access,Non Submission,Week 5. Student absent from multiple classes. Email sent to check in; student replied citing family issues. Offered flexibility and reminded of support services.,Death in family,Non-IT
48,master of business administration,LOA,Excluded,0,Referencing,Student Advocate,Rescheduled,Yes,L/G:9/10 N:5/10 R:8/10,No,Phone,LB5113,42.01,71.58,18.55,34.28,28,Access,Concern for Welfare,LB5202,64.14,87.54,36.99,8.08,55,Access,Concern for Welfare,LB5205,41.1,19.17,87.58,78.26,67,No Access,Non Submission,Week 3. Student enrolled late. Missing foundational content from Weeks 1–2. Provided links to recorded lectures and encouraged to attend tutorials for extra support.,Sickness,Non-IT
49,master of business administration,SRI to JCUB,Academic Caution,2,4R Essential Skills,Student Advocate,Rescheduled,No,L/G:9/10 N:5/10 R:8/10,No,F2F,LB5113,66.65,63.46,97.92,84.63,24,Access,Non Submission,LB5202,87.12,27.83,8.49,73.97,5,Access,Attendance,LB5205,62.82,18.62,48.65,63.83,69,Access,Concern for Welfare,Week 8. Student re-engaged with tutorials. Submitted outstanding work with approved extension.,Death in family,Non-IT
50,master of business administration,Return to Study,Academic Caution,0,Essential Skills and Reading,Other,Rescheduled,No,L/G:9/10 N:5/10 R:8/10,Yes,Phone,LB5113,16.34,6.02,63.63,33.83,80,No Access,Attendance,LB5202,23.17,16.92,90.86,12.52,5,No Access,Concern for Welfare,LB5205,13.96,11.97,21.51,30.8,30,Access,Attendance,Week 5. Student absent from multiple classes. Email sent to check in; student replied citing family issues. Offered flexibility and reminded of support services.,Poor time management,Non-IT
51,master of business administration,LOA,Academic Caution,0,Writing,Student Counsellor,Attended,Yes,L/G:9/10 N:5/10 R:8/10,Yes,F2F,LB5113,74.63,46.17,86.12,43.85,77,Access,Attendance,LB5202,65.43,62.26,2.62,53.08,52,Access,Concern for Welfare,LB5205,20.44,66.8,51.64,65.41,36,Access,Concern for Welfare,Week 6. Student submitted assessment late. Extension not requested in advance. Advised to submit future requests on time and referred to Academic Skills team.,Sickness,Non-IT
52,master of business administration,New,Conditional,0,Referencing,Student Advocate,Attended,Yes,L/G:9/10 N:5/10 R:8/10,Yes,Phone,LB5113,69.73,25.89,65.22,15.86,4,Access,Concern for Welfare,LB5202,66.68,27.65,21.8,81.99,96,Access,Non Submission,LB5205,47.74,41.52,85.05,2.73,41,Access,Attendance,Week 3. First contact made. Student reported internet access issues at home. IT support referral provided.,Late Enrollment,Non-IT
53,master of business administration,Return to Study,Satisfactory,0,Studiocity,Student Advocate,Rescheduled,No,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,LB5113,63.71,13.79,7.89,86.37,94,Access,Non Submission,LB5202,7.11,34.93,63.59,29.61,82,No Access,Non Submission,LB5205,68.4,59.93,34.22,13.37,76,Access,Attendance,Week 7. Student disclosed high stress levels and lack of sleep. Referred to Wellbeing team and reminded of available mental health support.,Mental health,Non-IT
54,master of business administration,Excluded,Conditional,0,Writing,Student Counsellor,Booked,No,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,LB5113,99.13,57.25,33.37,61.35,14,No Access,Attendance,LB5202,15.3,25.33,15.55,53.57,8,No Access,Concern for Welfare,LB5205,56.49,29.44,16.69,31.74,28,Access,Concern for Welfare,Week 5. Low engagement in tutorials. Follow-up email sent with participation expectations and links to recorded sessions.,Death in family,Non-IT
55,master of business administration,Return to Study,At Risk,0,Referencing,Other,Rescheduled,No,L/G:9/10 N:5/10 R:8/10,Yes,F2F,LB5113,44.8,69.99,16.36,42.59,49,Access,Attendance,LB5202,42.31,71.15,68.59,79.92,74,No Access,Attendance,LB5205,64.04,75.29,10.88,62.81,86,Access,Concern for Welfare,Week 3. Student enrolled late. Missing foundational content from Weeks 1–2. Provided links to recorded lectures and encouraged to attend tutorials for extra support.,Mental health,Non-IT
56,master of business administration,Return to Study,Satisfactory,0,Referencing,Other,Attended,No,L/G:9/10 N:5/10 R:8/10,No,F2F,LB5113,84.36,79.89,93.31,81.26,7,Access,Attendance,LB5202,47.43,86.84,91.49,83.26,90,Access,Non Submission,LB5205,90.04,44.25,0.31,50.3,27,Access,Non Submission,Week 3. Student enrolled late. Missing foundational content from Weeks 1–2. Provided links to recorded lectures and encouraged to attend tutorials for extra support.,Sickness,Non-IT
57,master of business administration,Continuing,Excluded,0,Studiocity,Student Counsellor,Booked,No,L/G:9/10 N:5/10 R:8/10,Yes,F2F,LB5113,88.02,69.76,19.66,24.74,69,Access,Concern for Welfare,LB5202,0.16,61.09,78.89,92.84,85,No Access,Attendance,LB5205,65.13,92.45,28.52,37.85,96,Access,Non Submission,booked to see a doctor. Week 5. Student contacted for low attendance. Reminded of the importance of attending classes. Week 7. Student contacted for missing submission due date. Referred to Counsellor for check in for wellbeing as the student advised mental health challenges.,Sickness,Non-IT
58,master of business administration,Continuing,At Risk,0,Writing,Enrollment,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,No,No Reply,LB5113,15.16,91.16,52.12,26.07,56,Access,Attendance,LB5202,53.39,17.7,87.82,90.11,99,Access,Concern for Welfare,LB5205,56.79,99.71,56.31,80.47,90,Access,Attendance,Week 5. Student absent from multiple classes. Email sent to check in; student replied citing family issues. Offered flexibility and reminded of support services.,Sickness,Non-IT
