student_id,course,student_cohort,academic_status,failed_subjects,study_skills(attended),referral,pp_meeting,self_assessment,readiness_assessment_results,follow_up,follow_up_type,subject_1,subject_1_assess_1,subject_1_assess_2,subject_1_assess_3,subject_1_assess_4,attendance_1,learn_jcu_issues_1,lecturer_referral_1,subject_2,subject_2_assess_1,subject_2_assess_2,subject_2_assess_3,subject_2_assess_4,attendance_2,learn_jcu_issues_2,lecturer_referral_2,subject_3,subject_3_assess_1,subject_3_assess_2,subject_3_assess_3,subject_4_assess_4,attendance_3,learn_jcu_issues_3,lecturer_referral_3,comments,identified_issues
15,Master of Business Administration,New,Satisfactory,,Writing,Lecturer,Rescheduled,No,L/G:9/10 N:5/10 R:8/10,No,Email,,52.84,73.17,93.95,81.7,0,Access,Non Submission,,80.35,18.71,82.22,71.63,5,Access,Concern for Welfare,,54.69,90.41,98.25,78.5,46,Access,Concern for Welfare,Week 6. Student submitted assessment late. Extension not requested in advance. Advised to submit future requests on time and referred to Academic Skills team.,Mental health
16,Master of Business Administration,Return to Study,Excluded,,Essential Skills,Enrollment,Booked,Yes,L/G:9/10 N:5/10 R:8/10,Yes,F2F,,95.27,10.85,78.17,31.87,63,No Access,Non Submission,,56.83,31.58,9.4,82.3,6,Access,Attendance,,39.8,87.03,82.92,47.12,85,Access,Non Submission,Week 7. Student disclosed high stress levels and lack of sleep. Referred to Wellbeing team and reminded of available mental health support.,Mental health
17,Master of Business Administration,Excluded,Excluded,,Studiocity,Enrollment,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,,55.64,79.37,22.81,43.05,11,No Access,Concern for Welfare,,32.22,44.97,95.1,87.34,64,Access,Attendance,,2.13,38.37,60.66,1.5,44,Access,Attendance,Week 8. Student re-engaged with tutorials. Submitted outstanding work with approved extension.,Sickness
18,Master of Business Administration,Continuing,Academic Caution,,Writing,Student Counsellor,Booked,Yes,L/G:9/10 N:5/10 R:8/10,Yes,Email,,69.8,89.62,38.83,31.88,59,Access,Concern for Welfare,,72.11,97.69,14.47,12.74,100,Access,Concern for Welfare,,17.47,45.6,40.46,5.18,3,No Access,Non Submission,Week 7. Missed second assessment. Student contacted and reported feeling overwhelmed. Referred to Academic Support and encouraged to speak with Counsellor.,Poor time management
19,Master of Business Administration,LOA,Excluded,,Referencing,Other,Attended,Yes,L/G:9/10 N:5/10 R:8/10,No,Phone,,97.66,39.96,23.96,16.36,9,Access,Attendance,,47.19,68.37,51.89,18.07,7,Access,Non Submission,,81.88,73.34,93.11,77.26,100,Access,Attendance,Week 6. Student submitted assessment late. Extension not requested in advance. Advised to submit future requests on time and referred to Academic Skills team.,Death in family
20,Master of Business Administration,New,At Risk,,Referencing,Other,Booked,Yes,L/G:9/10 N:5/10 R:8/10,Yes,Phone,,86.02,54.5,43.26,35.69,26,Access,Concern for Welfare,,19.36,66.26,6.38,18.71,23,Access,Attendance,,20.19,99.24,30.01,98.13,94,Access,Concern for Welfare,booked to see a doctor. Week 5. Student contacted for low attendance. Reminded of the importance of attending classes. Week 7. Student contacted for missing submission due date. Referred to Counsellor for check in for wellbeing as the student advised mental health challenges.,Mental health
21,Master of Business Administration,New,Satisfactory,,Essential Skills,Student Counsellor,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,No,F2F,,78.05,52.66,80.55,62.27,64,Access,Attendance,,52.72,30.33,23.05,19.98,44,Access,Attendance,,69.04,98.82,14.88,85.44,45,Access,Attendance,Week 3. Student enrolled late. Missing foundational content from Weeks 1–2. Provided links to recorded lectures and encouraged to attend tutorials for extra support.,Death in family
22,Master of Business Administration,Return to Study,Conditional,,Studiocity,Other,Attended,No,L/G:9/10 N:5/10 R:8/10,Yes,F2F,,76.78,62.87,18.94,86.33,75,Access,Attendance,,98.86,9.35,40.5,48.8,82,Access,Concern for Welfare,,0.14,69.1,1.05,58.84,19,Access,Attendance,Week 5. Low engagement in tutorials. Follow-up email sent with participation expectations and links to recorded sessions.,Late Enrollment
23,Master of Business Administration,Return to Study,Conditional,,Studiocity,Other,Booked,Yes,L/G:9/10 N:5/10 R:8/10,Yes,Email,,59.33,93.27,88.04,4.88,58,No Access,Concern for Welfare,,89.03,30.71,2.31,50.42,70,Access,Non Submission,,95.35,59.95,5.04,13.72,54,No Access,Non Submission,Week 3. First contact made. Student reported internet access issues at home. IT support referral provided.,Death in family
24,Master of Business Administration,SRI to JCUB,At Risk,,Writing,Student Advocate,Rescheduled,Yes,L/G:9/10 N:5/10 R:8/10,Yes,F2F,,73.02,79.12,39.32,29.24,14,No Access,Concern for Welfare,,27.61,38.82,64.49,38.16,68,No Access,Non Submission,,69.63,88.2,71.53,83.42,9,Access,Attendance,Week 7. Missed second assessment. Student contacted and reported feeling overwhelmed. Referred to Academic Support and encouraged to speak with Counsellor.,Mental health
25,Master of Business Administration,Return to Study,Conditional,,Writing,Other,Rescheduled,No,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,,65.98,22.03,82.95,18.8,42,Access,Non Submission,,41.29,11.97,84.16,10.74,91,Access,Attendance,,39.93,6.8,76.46,14.82,84,Access,Concern for Welfare,booked to see a doctor. Week 5. Student contacted for low attendance. Reminded of the importance of attending classes. Week 7. Student contacted for missing submission due date. Referred to Counsellor for check in for wellbeing as the student advised mental health challenges.,Late Enrollment
26,Master of Business Administration,LOA,Satisfactory,,Referencing,Lecturer,Not relevant,No,L/G:9/10 N:5/10 R:8/10,No,No Reply,,63.79,53.73,92.34,92.22,94,Access,Concern for Welfare,,69.94,90.95,93.84,7.31,33,Access,Concern for Welfare,,7.18,82.85,36.18,72.19,45,Access,Attendance,Week 3 late enrolment. Student finding it difficult to catch up on Weeks 1 and 2. Week 4. Student contacted on lecturer referral. Student has been sick on arrival,Poor time management
27,Master of Business Administration,Transferred,Conditional,,Essential Skills and Reading,Student Advocate,Attended,No,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,,17.74,42.39,6.68,22.16,55,No Access,Non Submission,,92.51,15.16,82.98,97.32,75,Access,Non Submission,,22.12,84.68,88.66,46.38,68,No Access,Attendance,Week 7. Missed second assessment. Student contacted and reported feeling overwhelmed. Referred to Academic Support and encouraged to speak with Counsellor.,Sickness
28,Master of Business Administration,Continuing,Academic Caution,,Writing,Other,Attended,Yes,L/G:9/10 N:5/10 R:8/10,No,F2F,,83.39,75.58,22.02,31.27,20,No Access,Attendance,,35.31,6.51,22.17,90.36,13,No Access,Concern for Welfare,,14.47,61.59,67.93,26.23,70,Access,Concern for Welfare,Week 6. Student submitted assessment late. Extension not requested in advance. Advised to submit future requests on time and referred to Academic Skills team.,Sickness
29,Master of Business Administration,Transferred,At Risk,,Essential Skills,Enrollment,Booked,No,L/G:9/10 N:5/10 R:8/10,No,F2F,,23.51,30.62,71.63,14.91,100,Access,Concern for Welfare,,6.92,93.31,32.8,3.23,27,Access,Attendance,,2.45,83.82,68.19,22.82,97,No Access,Attendance,Week 3. Student enrolled late. Missing foundational content from Weeks 1–2. Provided links to recorded lectures and encouraged to attend tutorials for extra support.,Death in family
30,Master of Business Administration,LOA,Academic Caution,,Writing,Enrollment,Rescheduled,Yes,L/G:9/10 N:5/10 R:8/10,No,No Reply,,18.63,18.0,85.16,12.25,74,No Access,Concern for Welfare,,47.77,5.41,80.87,84.52,34,No Access,Concern for Welfare,,86.71,4.39,80.09,80.89,55,Access,Non Submission,Week 3. Student enrolled late. Missing foundational content from Weeks 1–2. Provided links to recorded lectures and encouraged to attend tutorials for extra support.,Late Enrollment
31,Master of Business Administration,First year,Conditional,,4R Essential Skills,Lecturer,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,No,Phone,,88.77,51.62,64.43,75.28,26,Access,Non Submission,,37.38,96.11,83.53,28.88,83,Access,Concern for Welfare,,61.77,92.76,49.08,83.74,71,No Access,Attendance,Week 4. Student submitted first assessment late. Offered academic skills support and advised on extension procedures.,Late Enrollment
32,Master of Business Administration,Transferred,Excluded,,Studiocity,Other,Attended,No,L/G:9/10 N:5/10 R:8/10,No,Phone,,4.36,70.33,36.29,17.52,63,Access,Attendance,,8.68,11.58,5.76,59.58,94,Access,Attendance,,63.55,20.04,15.78,72.39,16,No Access,Non Submission,Week 6. Student reported working long hours. Referred to careers support for managing work–study balance.,Late Enrollment
33,Master of Business Administration,Return to Study,Conditional,,4R Essential Skills,Other,Not relevant,No,L/G:9/10 N:5/10 R:8/10,No,No Reply,,85.91,88.71,76.02,67.24,99,Access,Attendance,,7.61,17.92,49.16,23.55,32,Access,Attendance,,25.24,33.23,50.84,93.98,32,Access,Non Submission,Week 3 late enrolment. Student finding it difficult to catch up on Weeks 1 and 2. Week 4. Student contacted on lecturer referral. Student has been sick on arrival,Poor time management
34,Master of Business Administration,SRI to JCUB,Conditional,,4R Essential Skills,Enrollment,Rescheduled,No,L/G:9/10 N:5/10 R:8/10,No,No Reply,,17.76,45.19,58.28,1.6,78,Access,Attendance,,53.53,0.94,87.27,56.7,32,Access,Non Submission,,99.18,71.04,8.27,21.42,49,Access,Non Submission,Week 3 late enrolment. Student finding it difficult to catch up on Weeks 1 and 2. Week 4. Student contacted on lecturer referral. Student has been sick on arrival,Death in family
35,Master of Business Administration,Excluded,Academic Caution,,4R Essential Skills,Student Advocate,Attended,No,L/G:9/10 N:5/10 R:8/10,Yes,Email,,85.02,22.43,98.48,81.21,37,Access,Attendance,,34.97,39.21,84.2,99.51,32,Access,Non Submission,,7.36,39.85,44.82,43.04,94,Access,Attendance,Week 6. Student reported working long hours. Referred to careers support for managing work–study balance.,Mental health
36,Master of Business Administration,Return to Study,Academic Caution,,Referencing,Enrollment,Booked,No,L/G:9/10 N:5/10 R:8/10,Yes,Email,,81.03,42.56,28.01,49.73,23,No Access,Non Submission,,18.57,99.72,52.55,64.5,78,No Access,Concern for Welfare,,54.64,72.38,58.01,94.02,47,Access,Concern for Welfare,Week 2. Student did not attend orientation. Contacted via email with essential course info and Moodle access guide. No response yet,Poor time management
37,Master of Business Administration,First year,Academic Caution,,Essential Skills and Reading,Lecturer,Rescheduled,No,L/G:9/10 N:5/10 R:8/10,No,Phone,,19.11,45.38,63.23,41.37,37,No Access,Concern for Welfare,,62.86,76.21,4.13,71.49,83,No Access,Attendance,,93.03,35.09,61.69,96.06,38,Access,Concern for Welfare,Week 8. Student re-engaged with tutorials. Submitted outstanding work with approved extension.,Poor time management
38,Master of Business Administration,New,Satisfactory,,Essential Skills,Enrollment,Rescheduled,No,L/G:9/10 N:5/10 R:8/10,Yes,Email,,30.76,15.7,41.05,45.81,46,Access,Attendance,,28.72,58.9,49.77,0.52,32,Access,Non Submission,,99.11,63.22,13.56,19.76,94,Access,Attendance,Week 4. Student submitted first assessment late. Offered academic skills support and advised on extension procedures.,Death in family
39,Master of Business Administration,Return to Study,At Risk,,Writing,Lecturer,Rescheduled,No,L/G:9/10 N:5/10 R:8/10,No,No Reply,,0.37,54.76,82.74,77.4,70,No Access,Concern for Welfare,,6.0,11.57,53.75,25.78,97,No Access,Concern for Welfare,,37.59,4.18,78.98,80.59,4,Access,Concern for Welfare,Week 6. Student reported working long hours. Referred to careers support for managing work–study balance.,Mental health
40,Master of Business Administration,SRI to JCUB,Academic Caution,,Studiocity,Enrollment,Rescheduled,Yes,L/G:9/10 N:5/10 R:8/10,No,Email,,46.51,58.5,68.66,8.03,72,No Access,Attendance,,33.35,32.93,83.13,5.86,76,Access,Non Submission,,76.89,21.43,72.61,99.05,0,Access,Attendance,Week 2. Student did not attend orientation. Contacted via email with essential course info and Moodle access guide. No response yet,Mental health
41,Master of Business Administration,LOA,Academic Caution,,4R Essential Skills,Student Counsellor,Attended,Yes,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,,79.14,49.39,16.48,24.47,74,Access,Concern for Welfare,,10.48,38.79,64.39,66.51,46,Access,Non Submission,,0.12,50.57,22.35,25.13,69,Access,Attendance,Week 8. Student re-engaged with tutorials. Submitted outstanding work with approved extension.,Sickness
42,Master of Business Administration,Return to Study,Excluded,,Writing,Enrollment,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,Yes,Email,,41.04,89.08,64.9,30.95,51,Access,Attendance,,83.57,88.32,97.31,79.18,79,Access,Attendance,,76.46,16.27,26.52,38.82,38,Access,Non Submission,Week 7. Student disclosed high stress levels and lack of sleep. Referred to Wellbeing team and reminded of available mental health support.,Mental health
43,Master of Business Administration,Transferred,Excluded,,4R Essential Skills,Enrollment,Attended,Yes,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,,74.48,99.41,93.91,97.6,29,Access,Concern for Welfare,,33.97,92.26,41.27,16.38,4,Access,Concern for Welfare,,24.85,81.13,99.84,27.2,38,No Access,Concern for Welfare,Week 5. Student absent from multiple classes. Email sent to check in; student replied citing family issues. Offered flexibility and reminded of support services.,Late Enrollment
44,Master of Business Administration,Excluded,Academic Caution,,4R Essential Skills,Lecturer,Booked,Yes,L/G:9/10 N:5/10 R:8/10,Yes,Email,,63.75,25.92,32.29,88.24,7,Access,Non Submission,,49.64,28.5,40.79,83.47,6,No Access,Concern for Welfare,,81.98,18.64,69.6,87.3,89,No Access,Concern for Welfare,Week 3. Student enrolled late. Missing foundational content from Weeks 1–2. Provided links to recorded lectures and encouraged to attend tutorials for extra support.,Late Enrollment
45,Master of Business Administration,LOA,Academic Caution,,Studiocity,Student Counsellor,Rescheduled,Yes,L/G:9/10 N:5/10 R:8/10,Yes,F2F,,75.71,63.93,49.59,86.61,56,Access,Attendance,,56.26,7.59,93.99,82.51,71,Access,Non Submission,,86.48,93.54,10.17,89.16,49,Access,Attendance,Week 3 late enrolment. Student finding it difficult to catch up on Weeks 1 and 2. Week 4. Student contacted on lecturer referral. Student has been sick on arrival,Sickness
46,Master of Business Administration,LOA,Academic Caution,,Writing,Other,Rescheduled,No,L/G:9/10 N:5/10 R:8/10,Yes,Email,,38.94,33.2,34.28,15.79,49,Access,Attendance,,65.35,94.18,92.2,2.08,13,Access,Attendance,,63.69,95.64,28.85,89.8,76,No Access,Attendance,Week 6. Student reported working long hours. Referred to careers support for managing work–study balance.,Late Enrollment
47,Master of Business Administration,New,Satisfactory,,Writing,Student Advocate,Attended,No,L/G:9/10 N:5/10 R:8/10,No,F2F,,61.19,46.16,79.76,64.89,64,No Access,Attendance,,72.49,84.5,99.7,40.71,57,Access,Non Submission,,53.15,99.69,2.03,73.37,50,No Access,Non Submission,Week 5. Student absent from multiple classes. Email sent to check in; student replied citing family issues. Offered flexibility and reminded of support services.,Death in family
48,Master of Business Administration,LOA,Excluded,,Referencing,Student Advocate,Rescheduled,Yes,L/G:9/10 N:5/10 R:8/10,No,Phone,,42.01,71.58,18.55,34.28,28,Access,Concern for Welfare,,64.14,87.54,36.99,8.08,55,Access,Concern for Welfare,,41.1,19.17,87.58,78.26,67,No Access,Non Submission,Week 3. Student enrolled late. Missing foundational content from Weeks 1–2. Provided links to recorded lectures and encouraged to attend tutorials for extra support.,Sickness
49,Master of Business Administration,SRI to JCUB,Academic Caution,,4R Essential Skills,Student Advocate,Rescheduled,No,L/G:9/10 N:5/10 R:8/10,No,F2F,,66.65,63.46,97.92,84.63,24,Access,Non Submission,,87.12,27.83,8.49,73.97,5,Access,Attendance,,62.82,18.62,48.65,63.83,69,Access,Concern for Welfare,Week 8. Student re-engaged with tutorials. Submitted outstanding work with approved extension.,Death in family
50,Master of Business Administration,Return to Study,Academic Caution,,Essential Skills and Reading,Other,Rescheduled,No,L/G:9/10 N:5/10 R:8/10,Yes,Phone,,16.34,6.02,63.63,33.83,80,No Access,Attendance,,23.17,16.92,90.86,12.52,5,No Access,Concern for Welfare,,13.96,11.97,21.51,30.8,30,Access,Attendance,Week 5. Student absent from multiple classes. Email sent to check in; student replied citing family issues. Offered flexibility and reminded of support services.,Poor time management
51,Master of Business Administration,LOA,Academic Caution,,Writing,Student Counsellor,Attended,Yes,L/G:9/10 N:5/10 R:8/10,Yes,F2F,,74.63,46.17,86.12,43.85,77,Access,Attendance,,65.43,62.26,2.62,53.08,52,Access,Concern for Welfare,,20.44,66.8,51.64,65.41,36,Access,Concern for Welfare,Week 6. Student submitted assessment late. Extension not requested in advance. Advised to submit future requests on time and referred to Academic Skills team.,Sickness
52,Master of Business Administration,New,Conditional,,Referencing,Student Advocate,Attended,Yes,L/G:9/10 N:5/10 R:8/10,Yes,Phone,,69.73,25.89,65.22,15.86,4,Access,Concern for Welfare,,66.68,27.65,21.8,81.99,96,Access,Non Submission,,47.74,41.52,85.05,2.73,41,Access,Attendance,Week 3. First contact made. Student reported internet access issues at home. IT support referral provided.,Late Enrollment
53,Master of Business Administration,Return to Study,Satisfactory,,Studiocity,Student Advocate,Rescheduled,No,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,,63.71,13.79,7.89,86.37,94,Access,Non Submission,,7.11,34.93,63.59,29.61,82,No Access,Non Submission,,68.4,59.93,34.22,13.37,76,Access,Attendance,Week 7. Student disclosed high stress levels and lack of sleep. Referred to Wellbeing team and reminded of available mental health support.,Mental health
54,Master of Business Administration,Excluded,Conditional,,Writing,Student Counsellor,Booked,No,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,,99.13,57.25,33.37,61.35,14,No Access,Attendance,,15.3,25.33,15.55,53.57,8,No Access,Concern for Welfare,,56.49,29.44,16.69,31.74,28,Access,Concern for Welfare,Week 5. Low engagement in tutorials. Follow-up email sent with participation expectations and links to recorded sessions.,Death in family
55,Master of Business Administration,Return to Study,At Risk,,Referencing,Other,Rescheduled,No,L/G:9/10 N:5/10 R:8/10,Yes,F2F,,44.8,69.99,16.36,42.59,49,Access,Attendance,,42.31,71.15,68.59,79.92,74,No Access,Attendance,,64.04,75.29,10.88,62.81,86,Access,Concern for Welfare,Week 3. Student enrolled late. Missing foundational content from Weeks 1–2. Provided links to recorded lectures and encouraged to attend tutorials for extra support.,Mental health
56,Master of Business Administration,Return to Study,Satisfactory,,Referencing,Other,Attended,No,L/G:9/10 N:5/10 R:8/10,No,F2F,,84.36,79.89,93.31,81.26,7,Access,Attendance,,47.43,86.84,91.49,83.26,90,Access,Non Submission,,90.04,44.25,0.31,50.3,27,Access,Non Submission,Week 3. Student enrolled late. Missing foundational content from Weeks 1–2. Provided links to recorded lectures and encouraged to attend tutorials for extra support.,Sickness
57,Master of Business Administration,Continuing,Excluded,,Studiocity,Student Counsellor,Booked,No,L/G:9/10 N:5/10 R:8/10,Yes,F2F,,88.02,69.76,19.66,24.74,69,Access,Concern for Welfare,,0.16,61.09,78.89,92.84,85,No Access,Attendance,,65.13,92.45,28.52,37.85,96,Access,Non Submission,booked to see a doctor. Week 5. Student contacted for low attendance. Reminded of the importance of attending classes. Week 7. Student contacted for missing submission due date. Referred to Counsellor for check in for wellbeing as the student advised mental health challenges.,Sickness
58,Master of Business Administration,Continuing,At Risk,,Writing,Enrollment,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,No,No Reply,,15.16,91.16,52.12,26.07,56,Access,Attendance,,53.39,17.7,87.82,90.11,99,Access,Concern for Welfare,,56.79,99.71,56.31,80.47,90,Access,Attendance,Week 5. Student absent from multiple classes. Email sent to check in; student replied citing family issues. Offered flexibility and reminded of support services.,Sickness
59,Master of Business Administration,Continuing,At Risk,,Studiocity,Student Advocate,Attended,No,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,,7.4,46.47,36.72,83.61,22,Access,Concern for Welfare,,40.93,21.29,43.96,11.67,82,Access,Concern for Welfare,,13.62,54.21,0.69,55.79,20,Access,Non Submission,Week 5. Student absent from multiple classes. Email sent to check in; student replied citing family issues. Offered flexibility and reminded of support services.,Mental health
60,Master of Business Administration,Return to Study,Academic Caution,,Essential Skills and Reading,Student Advocate,Attended,No,L/G:9/10 N:5/10 R:8/10,Yes,Phone,,88.85,95.55,83.69,4.33,76,Access,Non Submission,,20.76,21.54,25.13,48.26,85,No Access,Attendance,,55.22,53.99,70.16,52.84,54,No Access,Attendance,Week 6. Student submitted assessment late. Extension not requested in advance. Advised to submit future requests on time and referred to Academic Skills team.,Poor time management
61,Master of Business Administration,LOA,Academic Caution,,4R Essential Skills,Enrollment,Attended,Yes,L/G:9/10 N:5/10 R:8/10,No,Phone,,87.9,10.93,56.71,26.92,57,No Access,Concern for Welfare,,27.99,6.6,29.32,42.72,34,No Access,Concern for Welfare,,15.04,82.13,5.92,57.68,48,Access,Attendance,Week 7. Student disclosed high stress levels and lack of sleep. Referred to Wellbeing team and reminded of available mental health support.,Sickness
62,Master of Business Administration,First year,Excluded,,Essential Skills,Enrollment,Booked,Yes,L/G:9/10 N:5/10 R:8/10,No,F2F,,73.24,17.47,34.3,61.01,71,Access,Attendance,,88.19,16.42,90.12,33.0,6,Access,Attendance,,55.95,13.57,71.28,65.81,71,Access,Attendance,Week 4. Student submitted first assessment late. Offered academic skills support and advised on extension procedures.,Mental health
63,Master of Business Administration,First year,At Risk,,Writing,Lecturer,Booked,No,L/G:9/10 N:5/10 R:8/10,No,Phone,,89.79,55.88,30.59,3.61,62,Access,Concern for Welfare,,36.76,32.9,78.23,71.35,18,No Access,Non Submission,,1.24,31.28,4.91,46.29,40,Access,Attendance,Week 6. Student submitted assessment late. Extension not requested in advance. Advised to submit future requests on time and referred to Academic Skills team.,Late Enrollment
